s,p,label,label2,label3
https://dblp.org/streams/conf/3dcve-ws,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Collaborative Virtual Environments (3DCVE),International Workshop on Collaborative Virtual Environments (3DCVE),International Workshop on Collaborative Virtual Environments (3DCVE)
https://dblp.org/streams/conf/3dgis,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on 3D Geoinformation Systems (3D-GIS),International Workshop on 3D Geoinformation Systems (3D-GIS),International Workshop on 3D Geoinformation Systems (3D-GIS)
https://dblp.org/streams/conf/3dic,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,IEEE International Conference on 3D System Integration (3DIC),IEEE International Conference on 3D System Integration (3DIC),IEEE International Conference on 3D System Integration (3DIC)
https://dblp.org/streams/conf/3dica,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3D Imaging and Applications (3DIA),3D Imaging and Applications (3DIA),3D Imaging and Applications (3DIA)
https://dblp.org/streams/conf/3dim,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Conference on 3D Vision (3DV),International Conference on 3D Vision (3DV),International Conference on 3D Vision (3DV)
https://dblp.org/streams/conf/3dor,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Eurographics Workshop on 3D Object Retrieval (3DOR),Eurographics Workshop on 3D Object Retrieval (3DOR),Eurographics Workshop on 3D Object Retrieval (3DOR)
https://dblp.org/streams/conf/3dph,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3D Physiological Human Workshop (3DPH),3D Physiological Human Workshop (3DPH),3D Physiological Human Workshop (3DPH)
https://dblp.org/streams/conf/3dpvt,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3D Data Processing Visualization and Transmission (3DPVT),3D Data Processing Visualization and Transmission (3DPVT),3D Data Processing Visualization and Transmission (3DPVT)
https://dblp.org/streams/conf/3dtv,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,3DTV-Conference (3DTV),3DTV-Conference (3DTV),3DTV-Conference (3DTV)
https://dblp.org/streams/conf/3dui,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,IEEE Symposium on 3D User Interfaces (3DUI),IEEE Symposium on 3D User Interfaces (3DUI),IEEE Symposium on 3D User Interfaces (3DUI)
https://dblp.org/streams/conf/3lperson,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,International Workshop on Professional Retraining and Life-Long Learning using ICT: Person-oriented Approach (3L-Person),International Workshop on Professional Retraining and Life-Long Learning using ICT: Person-oriented Approach (3L-Person),International Workshop on Professional Retraining and Life-Long Learning using ICT: Person-oriented Approach (3L-Person)
https://dblp.org/streams/conf/3pgcic,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,"International Conference on P2P, Parallel, Grid, Cloud and Internet Computing (3PGCIC)","International Conference on P2P, Parallel, Grid, Cloud and Internet Computing (3PGCIC)","International Conference on P2P, Parallel, Grid, Cloud and Internet Computing (3PGCIC)"
https://dblp.org/streams/conf/5g-memu,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,"Workshop on 5G and Beyond Network Measurements, Modeling, and Use Cases (5G-MeMU)","Workshop on 5G and Beyond Network Measurements, Modeling, and Use Cases (5G-MeMU)","Workshop on 5G and Beyond Network Measurements, Modeling, and Use Cases (5G-MeMU)"
